signal,description,horizon,period,IC,t_stat,p_value,n_obs
fr_cross_rank,Funding cross-sectional rank,3d,OOS,-0.05976582603604255,-1.5566941840645425,0.12001112857928026,678
fr_cross_rank,Funding cross-sectional rank,7d,IS,-0.019117885792210194,-0.7612615178778711,0.44661412414536755,1587
fr_cross_rank,Funding cross-sectional rank,7d,OOS,-0.03664601669812956,-0.950611844682397,0.34214321278682214,674
fr_cross_rank,Funding cross-sectional rank,14d,IS,-0.01656708440697831,-0.6596602672913642,0.5095677053085612,1587
fr_cross_rank,Funding cross-sectional rank,14d,OOS,0.011318743789955163,0.2919018674509105,0.7704526926537933,667
oi_zscore_24h,OI change z-score (24h rolling),4h,IS,0.03298391799423925,0.47824260236762417,0.6329750290737878,212
oi_zscore_24h,OI change z-score (24h rolling),4h,OOS,-0.17673686156749482,-1.759356059022582,0.08170296214151425,98
oi_zscore_24h,OI change z-score (24h rolling),12h,IS,0.04667421501197114,0.677111573992959,0.4990803785115488,212
oi_zscore_24h,OI change z-score (24h rolling),12h,OOS,0.09713956455529489,0.915579877091655,0.362389440544603,90
oi_zscore_24h,OI change z-score (24h rolling),24h,IS,-0.004819941737521616,-0.06984840297122456,0.9443807889107292,212
oi_zscore_24h,OI change z-score (24h rolling),24h,OOS,0.08921458288546895,0.7808684708495455,0.4373054101645724,78
oi_zscore_24h,OI change z-score (24h rolling),48h,IS,0.018079504479258632,0.262039740559706,0.7935476572292779,212
oi_zscore_24h,OI change z-score (24h rolling),48h,OOS,0.12651038688774535,0.919668651261307,0.361992635650056,54
net_taker,Net taker pressure (buy-sell normalized),4h,IS,-0.04180730096271917,-0.6400883642608998,0.5227413859469593,236
net_taker,Net taker pressure (buy-sell normalized),4h,OOS,-0.16157578307799217,-1.604191476194641,0.11195685703518848,98
net_taker,Net taker pressure (buy-sell normalized),12h,IS,-0.0008664016031625027,-0.013253401017746209,0.989436918183104,236
net_taker,Net taker pressure (buy-sell normalized),12h,OOS,-0.07417376630859777,-0.6977336293514131,0.4871832730210649,90
net_taker,Net taker pressure (buy-sell normalized),24h,IS,-0.0008536201253497788,-0.013057881786488841,0.9895927398374537,236
net_taker,Net taker pressure (buy-sell normalized),24h,OOS,-0.14566446212015832,-1.2835637657530734,0.20319449890667912,78
net_taker,Net taker pressure (buy-sell normalized),48h,IS,-0.0227765934622741,-0.34850529288362364,0.7277740863554054,236
net_taker,Net taker pressure (buy-sell normalized),48h,OOS,-0.1970268724985706,-1.4491878348730312,0.15328935509053906,54
ls_deviation,LS ratio deviation from 48h mean,4h,IS,-0.22333671057075313,-3.133224583788292,0.002007520969136863,189
ls_deviation,LS ratio deviation from 48h mean,4h,OOS,0.14544561967242378,1.4403869322038367,0.153011398884164,98
ls_deviation,LS ratio deviation from 48h mean,12h,IS,-0.25297641266286286,-3.575709495918296,0.00044461197962060174,189
ls_deviation,LS ratio deviation from 48h mean,12h,OOS,0.13046055068526977,1.2343780567228557,0.22034821798265555,90
ls_deviation,LS ratio deviation from 48h mean,24h,IS,-0.18178424785367678,-2.5279823317960264,0.012299420750067545,189
ls_deviation,LS ratio deviation from 48h mean,24h,OOS,0.4522692497376041,4.420757823409208,3.225149487058563e-05,78
ls_deviation,LS ratio deviation from 48h mean,48h,IS,-0.06777404504168222,-0.9289320240463526,0.35412183946799214,189
ls_deviation,LS ratio deviation from 48h mean,48h,OOS,0.8860301124452067,13.781001585873643,5.407959403997913e-19,54
oi_ls_divergence,OI x LS divergence (interaction),4h,IS,0.006093247302653797,0.08332545052676006,0.9336818932020727,189
oi_ls_divergence,OI x LS divergence (interaction),4h,OOS,0.10457828867254493,1.0303032877529343,0.3054564610394068,98
oi_ls_divergence,OI x LS divergence (interaction),12h,IS,-0.002689347482180629,-0.03677640669846366,0.9707025151564869,189
oi_ls_divergence,OI x LS divergence (interaction),12h,OOS,0.01732724204634317,0.16256834438553264,0.871231035491647,90
oi_ls_divergence,OI x LS divergence (interaction),24h,IS,-0.04956540286887432,-0.6786308088387506,0.49821079121066436,189
oi_ls_divergence,OI x LS divergence (interaction),24h,OOS,-0.009749743926959115,-0.08500033706209247,0.9324846418710672,78
oi_ls_divergence,OI x LS divergence (interaction),48h,IS,-0.13211397287545104,-1.822607413625242,0.06996002847345036,189
oi_ls_divergence,OI x LS divergence (interaction),48h,OOS,-0.007661520869068038,-0.05524963425315495,0.9561513228373681,54
buy_sell_ratio,Raw buy/sell ratio,4h,IS,-0.04186482716813394,-0.6409706613482664,0.5221689883823044,236
buy_sell_ratio,Raw buy/sell ratio,4h,OOS,-0.16153804467450272,-1.6038067533129317,0.1120417535977102,98
buy_sell_ratio,Raw buy/sell ratio,12h,IS,-0.0009412647594719576,-0.01439858850644163,0.9885242541055078,236
buy_sell_ratio,Raw buy/sell ratio,12h,OOS,-0.0739188950036923,-0.6953229254371834,0.488685018212517,90
buy_sell_ratio,Raw buy/sell ratio,24h,IS,-0.0009467425369276624,-0.014482382500863825,0.9884574745549551,236
buy_sell_ratio,Raw buy/sell ratio,24h,OOS,-0.14514691098376212,-1.278904890533091,0.2048218719217663,78
buy_sell_ratio,Raw buy/sell ratio,48h,IS,-0.022865612544476156,-0.34986808747878506,0.726752386889295,236
buy_sell_ratio,Raw buy/sell ratio,48h,OOS,-0.19653509695006324,-1.445425169234474,0.15433850510347097,54
